Fachwissen;besitzt ein hervorragendes, in die Tiefe gehendes Fachwissen;4
Fachwissen;besitzt ein sehr fundiertes Fachwissen;3
Fachwissen;besitzt ein abgerundetes Fachwissen;2
Fachwissen;verfügte nur teilweise über das erforderliche Fachwissen;1
Erfahrung;besonders umfangreiche Erfahrung in;4
Erfahrung;umfangreiche Erfahrung in;3
Erfahrung;die nötige Erfahrung in;2
Erfahrung;begrenzte Erfahrung in;1
Anwendung & Umsetzung;setzt erworbenes Wissen vorbildlich in die Praxis um;4
Anwendung & Umsetzung;setzte erworbenes Wissen vorbildlich in die Praxis um;3
Anwendung & Umsetzung;setzte erworbenes in die Praxis um;2
Anwendung & Umsetzung;setzte erworbenes Wissen nicht mit dem erwarteten Erfolg In die Praxis um;1
Anwendung & Umsetzung II;und fand sich in neuen Aufgaben mit bemerkenswerter Leichtigkeit zurecht;4
Anwendung & Umsetzung II;und fand sich auch in neuen Aufgabenstellungen schnell zurecht;3
Anwendung & Umsetzung II;und fand sich auch in neuen Aufgabenstellungen zurecht;2
Anwendung & Umsetzung II;und fand sich in neuen Aufgaben nur mit Unterstützung zurecht;1
Lernbereitschaft;nutzte interne und externe Weiterbildungsmöglichkeiten, um aktuell und auf dem neuesten fachlichen Stand zu bleiben.;4
Lernbereitschaft;legte Wert darauf, durch permanente Weiterbildung mit der fachlichen Entwicklung Schritt zu halten;3
Lernbereitschaft;bildete sich weiter, wenn der betriebliche Bedarf es erforderte;2
Lernbereitschaft;war an Weiterbildungsmöglichkeiten wenig interessiert;1
Organisation & Planung;die Aufgaben systematisch und nach klaren Prioritäten;4
Organisation & Planung;die Aufgaben zweckmässig und setzte Prioritäten;3
Organisation & Planung;die Aufgaben praxisgerecht;2
Organisation & Planung;ungenügend ausgeprägte organisatorische Geschick;1
Qualitätsbewusstes Handeln;eine hochwertige Arbeitsqualität;4
Qualitätsbewusstes Handeln;eine einwandfreie Arbeitsqualität;3
Qualitätsbewusstes Handeln;vertretbare Arbeitsqualität;2
Qualitätsbewusstes Handeln;nur mit regelmässiger Kontrolle;1
Qualitätsbewusstes Handeln II;respektierte ordnungsgemäss Richtlinien und Vorschriften;4
Qualitätsbewusstes Handeln II;befolgte die Richtlinien und Vorschriften;3
Qualitätsbewusstes Handeln II;befolgte weitgehend Richtlinien und Vorschriften;2
